MakeRoot 1
AddRight 2 1
AddLeft 3 1
AddLeft 4 2
AddLeft 5 4
AddRight 6 5
AddLeft 7 6
AddRight 8 4
AddLeft 9 3
AddLeft 10 5
AddRight 11 2
AddRight 12 10
AddLeft 13 10
AddRight 14 8
AddRight 15 6
AddRight 16 9
AddLeft 17 15
AddRight 18 12
AddRight 19 15
AddRight 20 18
AddLeft 21 17
AddLeft 22 13
AddLeft 23 18
AddLeft 24 8
AddLeft 25 20
AddRight 26 23
AddLeft 27 21
AddRight 28 16
AddRight 29 19
AddRight 30 17
AddRight 31 11
AddRight 32 7
AddLeft 33 26
AddLeft 34 23
AddLeft 35 27
AddRight 36 20
AddLeft 37 29
AddLeft 38 14
AddRight 39 21
AddLeft 40 36
AddLeft 41 11
AddRight 42 35
AddLeft 43 30
AddRight 44 24
AddRight 45 37
AddRight 46 14
AddLeft 47 31
AddLeft 48 9
AddLeft 49 42
AddRight 50 25
AddLeft 51 48
AddRight 52 22
AddLeft 53 22
AddLeft 54 47
AddLeft 55 50
AddLeft 56 39
AddLeft 57 40
AddRight 58 31
AddRight 59 46
AddLeft 60 24
AddRight 61 51
AddRight 62 13
AddRight 63 53
AddLeft 64 58
AddRight 65 45
AddLeft 66 54
AddRight 67 41
AddRight 68 66
AddRight 69 65
AddRight 70 63
AddLeft 71 56
AddLeft 72 16
AddLeft 73 72
AddRight 74 72
AddRight 75 33
AddRight 76 67
AddLeft 77 19
AddRight 78 29
AddLeft 79 69
AddRight 80 59
AddLeft 81 67
AddRight 82 26
AddLeft 83 64
AddLeft 84 43
AddLeft 85 79
AddLeft 86 76
AddRight 87 68
AddRight 88 73
AddLeft 89 84
AddRight 90 62
AddRight 91 77
AddRight 92 90
AddLeft 93 60
AddLeft 94 52
AddRight 95 94
AddLeft 96 77
AddLeft 97 74
AddRight 98 74
AddRight 99 83
AddRight 100 84
AddRight 101 75
AddLeft 102 92
AddLeft 103 37
AddLeft 104 83
AddRight 105 104
AddLeft 106 71
AddLeft 107 7
AddLeft 108 33
AddRight 109 86
AddLeft 110 65
AddRight 111 93
AddLeft 112 75
AddLeft 113 85
AddRight 114 82
AddLeft 115 81
AddLeft 116 88
AddLeft 117 106
AddLeft 118 57
AddRight 119 109
AddRight 120 88
AddRight 121 52
AddRight 122 105
AddLeft 123 28
AddRight 124 102
AddRight 125 80
AddLeft 126 102
AddLeft 127 120
AddLeft 128 91
AddRight 129 127
AddRight 130 103
AddRight 131 120
AddLeft 132 109
AddLeft 133 103
AddRight 134 129
AddRight 135 97
AddRight 136 81
AddLeft 137 68
AddRight 138 124
AddRight 139 106
AddLeft 140 73
AddLeft 141 132
AddRight 142 27
AddRight 143 78
AddLeft 144 136
AddRight 145 89
AddRight 146 116
AddRight 147 34
AddRight 148 40
AddLeft 149 93
AddLeft 150 123
AddRight 151 134
